128	2048	4	9.17725	1.57363e+07	20.8769	1.96151e+07	47.9703
128	256	32	11.9633	8.26032e+06	166.811	7.39699e+06	185.437
128	512	16	7.31699	1.46618e+07	85.6676	1.45572e+07	100.26
256	1024	16	3.35498	1.49635e+07	43.4924	2.18032e+07	52.3552
256	4096	4	6.98554	1.07087e+07	11.2015	1.15193e+07	39.5422
32	128	16	87.4202	4.17216e+06	323.565	3.84195e+06	428.945
32	2048	1	37.4191	5.70285e+06	66.5753	8.11151e+06	170.361
32	32	64	196.753	1.82604e+06	1287.59	1.80128e+06	1539.32
32	512	4	29.2859	7.57685e+06	82.2576	9.41459e+06	135.543
32	64	32	170.069	2.50719e+06	657.934	2.30652e+06	861.402
64	1024	4	13.0395	1.35952e+07	41.3577	6.12328e+06	73.5594
64	128	32	43.6869	4.67332e+06	329.434	4.07866e+06	386.124
64	256	16	23.9054	8.03822e+06	163.53	7.92303e+06	196.407
64	4096	1	26.6226	4.70168e+06	32.6936	7.08932e+06	136.483
