128	2048	4	9.07838	1.42143e+07	20.9059	1.68366e+07	48.2738	0
128	256	32	11.9629	6.27381e+06	166.566	6.63993e+06	186.013	0
128	512	16	7.31436	1.37877e+07	85.8683	1.05908e+07	100.984	0
256	1024	16	3.37788	1.4711e+07	43.4823	2.16753e+07	52.3645
32	128	16	87.3054	4.00055e+06	324.003	3.97088e+06	429.374
32	2048	1	37.4187	6.27111e+06	66.7562	7.45121e+06	170.622
32	32	64	196.746	1.79074e+06	1293.61	1.82306e+06	1545.39
32	512	4	28.2375	9.57492e+06	82.2494	9.31889e+06	134.459
32	64	32	170.014	2.5837e+06	655.743	2.27299e+06	859.148
64	1024	4	13.0407	1.42495e+07	41.3336	1.63874e+07	71.6816
64	128	32	43.6853	4.87469e+06	329.193	4.17409e+06	385.631
64	256	16	23.9087	8.06902e+06	163.759	6.90496e+06	196.97
64	4096	1	26.6326	5.03456e+06	32.5627	7.79126e+06	135.914
