current time is 26.231200
0.00000000	515.8250249050	
0.00300000	516.9331229268	
0.00600000	518.0558530064	
0.00900000	519.1934232057	
0.01200000	520.3432878882	
0.01500000	521.4946807847	
0.02666667	525.7142660373	
0.03833333	529.2730590248	
0.05000000	532.1912794236	
0.06166667	534.5290793272	
0.07333333	536.3012982402	
0.08500000	537.5856978551	
0.08800000	537.8953639674	
0.09100000	538.2303028288	
0.09400000	538.6042598781	
0.09700000	539.0229521079	
0.10000000	539.4890811557	
0.10300000	540.0037102785	
0.10600000	540.5665153341	
0.10900000	541.1754959373	
0.11200000	541.8255395635	
0.11500000	542.5032951386	
0.12666667	545.0881704071	
0.13833333	547.2527687363	
0.15000000	548.9467791404	
0.16166667	550.1890079338	
0.17333333	550.9655396719	
0.18500000	551.3382225710	
0.18800000	551.4275683344	
0.19100000	551.5486489374	
0.19400000	551.7155322848	
0.19700000	551.9340029769	
0.20000000	552.2066671732	
0.20300000	552.5343958785	
0.20600000	552.9165979210	
0.20900000	553.3509225047	
0.21200000	553.8317765794	
0.21500000	554.3451305277	
0.22666667	556.3228171965	
0.23833333	557.9092471046	
0.25000000	559.0436635717	
0.26166667	559.7410207422	
0.27333333	559.9846499119	
0.28500000	559.8375305145	
0.28800000	559.7968648165	
0.29100000	559.7902337842	
0.29400000	559.8320497518	
0.29700000	559.9282358300	
0.30000000	560.0814248419	
0.30300000	560.2924483473	
0.30600000	560.5606237348	
0.30900000	560.8834518506	
0.31200000	561.2551030942	
0.31500000	561.6611601522	
0.32666667	563.2316696835	
0.33833333	564.4150953734	
0.35000000	565.1470177533	
0.36166667	565.4423176330	
0.37333333	565.2844253150	
0.38500000	564.7382815189	
0.38800000	564.5964377000	
0.39100000	564.4897331650	
0.39400000	564.4327962449	
0.39700000	564.4316330904	
0.40000000	564.4888910698	
0.40300000	564.6053768269	
0.40600000	564.7803527791	
0.40900000	565.0112332115	
0.41200000	565.2920540869	
0.41500000	565.6081809940	
0.42666667	566.8330547339	
0.43833333	567.6708994379	
0.45000000	568.0558042350	
0.46166667	568.0031714281	
0.47333333	567.4969789306	
0.48500000	566.6032359920	
0.48800000	566.3724894775	
0.49100000	566.1772754751	
0.49400000	566.0322968923	
0.49700000	565.9435744872	
0.50000000	565.9137413429	
0.50300000	565.9435744872	
0.50600000	566.0322968923	
0.50900000	566.1772754751	
0.51200000	566.3724894774	
0.51500000	566.6032359919	
0.52666667	567.4969789304	
0.53833333	568.0031714277	
0.55000000	568.0558042349	
0.56166667	567.6708994380	
0.57333333	566.8330547341	
0.58500000	565.6081809942	
0.58800000	565.2920540871	
0.59100000	565.0112332117	
0.59400000	564.7803527793	
0.59700000	564.6053768271	
0.60000000	564.4888910701	
0.60300000	564.4316330907	
0.60600000	564.4327962452	
0.60900000	564.4897331653	
0.61200000	564.5964377003	
0.61500000	564.7382815191	
0.62666667	565.2844253151	
0.63833333	565.4423176329	
0.65000000	565.1470177536	
0.66166667	564.4150953734	
0.67333333	563.2316696835	
0.68500000	561.6611601521	
0.68800000	561.2551030941	
0.69100000	560.8834518504	
0.69400000	560.5606237346	
0.69700000	560.2924483471	
0.70000000	560.0814248417	
0.70300000	559.9282358299	
0.70600000	559.8320497516	
0.70900000	559.7902337840	
0.71200000	559.7968648163	
0.71500000	559.8375305143	
0.72666667	559.9846499119	
0.73833333	559.7410207423	
0.75000000	559.0436635718	
0.76166667	557.9092471040	
0.77333333	556.3228171962	
0.78500000	554.3451305275	
0.78800000	553.8317765792	
0.79100000	553.3509225046	
0.79400000	552.9165979210	
0.79700000	552.5343958785	
0.80000000	552.2066671732	
0.80300000	551.9340029769	
0.80600000	551.7155322848	
0.80900000	551.5486489374	
0.81200000	551.4275683344	
0.81500000	551.3382225710	
0.82666667	550.9655396720	
0.83833333	550.1890079336	
0.85000000	548.9467791403	
0.86166667	547.2527687361	
0.87333333	545.0881704070	
0.88500000	542.5032951385	
0.88800000	541.8255395634	
0.89100000	541.1754959373	
0.89400000	540.5665153342	
0.89700000	540.0037102786	
0.90000000	539.4890811558	
0.90300000	539.0229521079	
0.90600000	538.6042598781	
0.90900000	538.2303028289	
0.91200000	537.8953639675	
0.91500000	537.5856978552	
0.92666667	536.3012982405	
0.93833333	534.5290793276	
0.95000000	532.1912794241	
0.96166667	529.2730590257	
0.97333333	525.7142660384	
0.98500000	521.4946807860	
0.98800000	520.3432878896	
0.99100000	519.1934232074	
0.99400000	518.0558530082	
0.99700000	516.9331229288	
1.00000000	515.8250249070	
